SHIPPER ACCOUNT NUMBER,SHIPPER ACCOUNT NAME,SHIPPER COMPANY NAME,SHIPPER ADDRESS,SHIPPER CONTACT PERSON,SHIPPER CONTACT NUMBER
,ECI TELECOM,ECI TELECOM,"Unit 2707 Antel 2000 Bldg. 121 Valero Street, Salcedo Village, Makati City",Ms.Marie,845-2333 loc. 817 ACC. 805 /825EVERY hazel THURDSAY
,ELTM DELIVERY EXPRESS,ELTM DELIVERY EXPRESS,"11 unit 2 Castilla Street,barangay valencia Quezon city. Landmark near gilmore heights and one cast",None,638-4224
,Elvie Magpayo c/o Museum Foundation,Elvie Magpayo c/o Museum Foundation,"2357 Kalayaan St., Sta. Ana, Manila/",Elvie Magpayo,0
,EMBASSY OF THE RUSSIAN FEDERATION,EMBASSY OF THE RUSSIAN FEDERATION,"1245 ACASIA ROAD, DASMARINAS VILLAGE MAKATI CITY",Demetrie Larion,893-0190 collection:810-9581
,Emirates Airline,Emirates Airline,"18th Floor Pacific Star Building Makati Ave. cor Gil Puyat, Makati City",Ms. Pam,858-5350 Local 801 Ms.Pam/858-5300
,EMPIRE EAST,EMPIRE EAST,"24/F The World Center 330 Sen Gil Puyat Ave., Makati City",Ms.Jesia,None
,EnfraUSA,EnfraUSA,14/F Orient Square Bldg. Ortigas Center Pasig City,Ms.Ashley,9140785 TO 86 NEW CONTACT NUMBER 914-9997 JARED SOBERANO
,Enlightened Enterprise,Enlightened Enterprise,Ground floor Room 39 South Star Plaza South Superhighway Bangkal Makati City,Ms.Reggie,892-9685/ reggie
,"ERICSSON TELECOMMUNICATIONS, INC.","ERICSSON TELECOMMUNICATIONS, INC.","21st Flr., Net2 Bldg., 32nd Ave. cor 28th St., Cresent Park West BGC, Taguig City, 1634",None,789-1800
,ESCO PHILS.INC.,ESCO PHILS.INC.,R7 Ground Floor Tower B Two-E Com Center Bayshore Avenue Mall of Asia Pasay City,Tess De Guzman,828-1527/actg 504-3271
,ESETEK EQUIPMENT PHILS. INC (formerly Schmidt),ESETEK EQUIPMENT PHILS. INC (formerly Schmidt),"Unit 508 Alpap II Bldg., Madrigal Business Park Alabang, Muntinlupa City",Jyrah Ganza,772-2301 collection: 403-2740
,Essliv Corp.,Essliv Corp.,Unit 501 Cattleya Bldg. 235 Salcedo St. Legapi Village Makati City,Ms. Irene,555-1087 /623-0864 ACTIVE
,EURO ASIA MERCHANDISING,EURO ASIA MERCHANDISING,"1695 Auro Vir Bldg. Evangelista Makati City, Makati City, Makati, 1200 Metro Manila",Sir Ryan,400-79-89
,Executive Optical,Executive Optical,"Cedar Bldg. 26 Timog Ave. cor. Scout Tobias, Quezon City",Omar Salandanan,372-6626228/09437014711
,Exist Corporation,Exist Corporation,"Address: Unit 6 2nd Floor Magnitude Building 2, #186 E.Rodriguez Jr. Avenue Bagumbayan, Quezon City,",Mr.Popoy,09778251235/4774913
